RouteUID,RouteID,RouteName_Zh,RouteName_En,Direction,CityCode
TXG465,465,65延,65E,1,TXG
TXG467,467,65繞,65A,0,TXG
TXG467,467,65繞,65A,1,TXG
TXG468,468,65副,65V,0,TXG
TXG468,468,65副,65V,1,TXG
TXG5,5,5,5,0,TXG
TXG5,5,5,5,1,TXG
TXG58,58,58,58,0,TXG
TXG58,58,58,58,1,TXG
TXG583,583,58副,58V,0,TXG
TXG583,583,58副,58V,1,TXG
TXG65,65,65,65,0,TXG
TXG65,65,65,65,1,TXG
TXG7001,7001,700跳蛙公車,700J,0,TXG
TXG7001,7001,700跳蛙公車,700J,1,TXG
TXG9221,9221,922,922,0,TXG
TXG9221,9221,922,922,1,TXG
TXG160,160,160,160,0,TXG
TXG160,160,160,160,1,TXG
TXG1601,1601,160副,160V,0,TXG
TXG1601,1601,160副,160V,1,TXG
TXG161,161,161,161,0,TXG
TXG161,161,161,161,1,TXG
TXG1611,1611,161副,161V,0,TXG
TXG1611,1611,161副,161V,1,TXG
TXG17,17,17,17,0,TXG
TXG17,17,17,17,1,TXG
TXG285,285,285,285,0,TXG
TXG285,285,285,285,1,TXG
TXG2851,2851,285副,285V,0,TXG
TXG2851,2851,285副,285V,1,TXG
TXG616,616,616,616,0,TXG
TXG616,616,616,616,1,TXG
TXG668,668,668,668,0,TXG
TXG668,668,668,668,1,TXG
TXG7,7,7,7,0,TXG
TXG7,7,7,7,1,TXG
TXG39,39,39,39,0,TXG
TXG39,39,39,39,1,TXG
TXG661,661,661,661,0,TXG
TXG661,661,661,661,1,TXG
TXG662,662,662,662,0,TXG
TXG662,662,662,662,1,TXG
TXG839,839,839,839,0,TXG
TXG839,839,839,839,1,TXG
TXG181,181,181,181,0,TXG
TXG181,181,181,181,1,TXG
TXG1811,1811,181區1,181S1,0,TXG
TXG1811,1811,181區1,181S1,1,TXG
TXG1812,1812,181區2,181S2,0,TXG
TXG1812,1812,181區2,181S2,1,TXG
TXG289,289,289,289,0,TXG
TXG289,289,289,289,1,TXG
TXG86,86,86,86,0,TXG
TXG86,86,86,86,1,TXG
TXG861,861,86E,86E,0,TXG
TXG862,862,86W,86W,0,TXG
